,negotiable,property_size,property_age,bathroom,cup_board,floor,total_floor,balconies,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,PARK,RWH,STP,HK,PB,VP,Year,Month,Amenities_Count,type_BHK1,type_BHK2,type_BHK3,type_BHK4,type_BHK4PLUS,type_RK1,lease_type_ANYONE,lease_type_BACHELOR,lease_type_COMPANY,lease_type_FAMILY,furnishing_FULLY_FURNISHED,furnishing_NOT_FURNISHED,furnishing_SEMI_FURNISHED,parking_BOTH,parking_FOUR_WHEELER,parking_NONE,parking_TWO_WHEELER,facing_E,facing_N,facing_NE,facing_NW,facing_S,facing_SE,facing_SW,facing_W,water_supply_BOREWELL,water_supply_CORPORATION,water_supply_CORP_BORE,building_type_AP,building_type_GC,building_type_IF,building_type_IH,State_Karnataka,State_Tamil Nadu,City_Bangalore,City_Chennai,Zone_Bangalore_East,Zone_Bangalore_North,Zone_Bangalore_South,ind
0,0,1250,25,2,2,6,12,2,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2018,4,15,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,train
1,1,1400,4,2,2,3,4,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,2017,9,8,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,train
2,0,1350,6,3,3,1,5,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2018,12,6,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,train
3,1,600,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,train
4,1,1500,15,3,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2018,5,3,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,train
5,1,1080,0,2,1,3,5,2,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2017,10,8,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,train
6,1,1895,5,3,5,3,9,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2018,12,18,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,train
7,1,1000,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2018,7,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,train
8,0,900,10,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2018,3,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,train
9,1,1290,4,2,4,2,4,2,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,2018,10,13,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,train
10,1,1200,2,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,11,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,train
11,1,1300,8,2,2,1,4,2,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,2017,5,13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,train
12,1,930,7,2,2,1,4,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,2017,8,11,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,train
13,0,1418,4,2,2,11,14,2,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,2017,9,12,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,train
14,1,600,10,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2018,5,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,train
15,1,1200,2,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,11,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,train
16,0,1200,3,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2018,7,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,train
17,0,1200,10,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,8,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,train
